bus_id ,node_id ,value
     1 ,      1 ,50650.8
     1 ,      2 ,52406.4
     1 ,      3 ,51571.2
     1 ,      4 ,49476.0
     1 ,      5 ,46814.4
     1 ,      6 ,45690.0
     1 ,      7 ,45141.6
     1 ,      8 ,46876.8
     1 ,      9 ,47902.8
     1 ,     10 ,48817.2
     1 ,     11 ,48392.4
     1 ,     12 ,47943.6
     2 ,      1 ,15074.4
     2 ,      2 ,15417.6
     2 ,      3 ,14821.2
     2 ,      4 ,14258.4
     2 ,      5 ,13804.8
     2 ,      6 ,13518.0
     2 ,      7 ,13341.6
     2 ,      8 ,13212.0
     2 ,      9 ,13060.8
     2 ,     10 ,13512.0
     2 ,     11 ,14010.0
     2 ,     12 ,13926.0
     3 ,      1 ,11737.2
     3 ,      2 ,11464.8
     3 ,      3 ,12070.8
     3 ,      4 ,12078.0
     3 ,      5 ,11547.6
     3 ,      6 ,10965.6
     3 ,      7 ,10585.2
     3 ,      8 ,10142.4
     3 ,      9 ,10114.8
     3 ,     10 ,10465.2
     3 ,     11 ,10510.8
     3 ,     12 ,10400.4
     4 ,      1 , 6294.0
     4 ,      2 , 6475.2
     4 ,      3 , 6670.8
     4 ,      4 , 6633.6
     4 ,      5 , 6750.0
     4 ,      6 , 6567.6
     4 ,      7 , 6594.0
     4 ,      8 , 6823.2
     4 ,      9 , 6800.4
     4 ,     10 , 6744.0
     4 ,     11 , 6590.4
     4 ,     12 , 6501.6
     5 ,      1 ,    0.0
     5 ,      2 ,    0.0
     5 ,      3 ,    0.0
     5 ,      4 ,    0.0
     5 ,      5 ,    0.0
     5 ,      6 ,    0.0
     5 ,      7 ,    0.0
     5 ,      8 ,    0.0
     5 ,      9 ,    0.0
     5 ,     10 ,    0.0
     5 ,     11 ,    0.0
     5 ,     12 ,    0.0
