bus_id ,node_id ,value ,block
     1 ,      2 ,200.0 ,peak
     1 ,      2 ,150.0 ,shoulder
     1 ,      2 , 80.0 ,offpeak
     1 ,      3 ,200.0 ,peak
     1 ,      3 ,150.0 ,shoulder
     1 ,      3 , 80.0 ,offpeak
     1 ,      4 ,200.0 ,peak
     1 ,      4 ,150.0 ,shoulder
     1 ,      4 , 80.0 ,offpeak
     1 ,      5 ,200.0 ,peak
     1 ,      5 ,150.0 ,shoulder
     1 ,      5 , 80.0 ,offpeak
     1 ,      6 ,200.0 ,peak
     1 ,      6 ,150.0 ,shoulder
     1 ,      6 , 80.0 ,offpeak
     1 ,      7 ,200.0 ,peak
     1 ,      7 ,150.0 ,shoulder
     1 ,      7 , 80.0 ,offpeak
     1 ,      8 ,200.0 ,peak
     1 ,      8 ,150.0 ,shoulder
     1 ,      8 , 80.0 ,offpeak
     1 ,      9 ,200.0 ,peak
     1 ,      9 ,150.0 ,shoulder
     1 ,      9 , 80.0 ,offpeak
     1 ,     10 ,200.0 ,peak
     1 ,     10 ,150.0 ,shoulder
     1 ,     10 , 80.0 ,offpeak
     1 ,     11 ,200.0 ,peak
     1 ,     11 ,150.0 ,shoulder
     1 ,     11 , 80.0 ,offpeak
     1 ,     12 ,200.0 ,peak
     1 ,     12 ,150.0 ,shoulder
     1 ,     12 , 80.0 ,offpeak
