bus_id ,node_id ,value
     1 ,      2 , 80.0
     1 ,      3 , 80.0
     1 ,      4 , 80.0
     1 ,      5 , 80.0
     1 ,      6 , 80.0
     1 ,      7 , 80.0
     1 ,      8 , 80.0
     1 ,      9 , 80.0
     1 ,     10 , 80.0
     1 ,     11 , 80.0
     1 ,     12 , 80.0
     2 ,      2 , 40.0
     2 ,      3 , 40.0
     2 ,      4 , 40.0
     2 ,      5 , 40.0
     2 ,      6 , 40.0
     2 ,      7 , 40.0
     2 ,      8 , 40.0
     2 ,      9 , 40.0
     2 ,     10 , 40.0
     2 ,     11 , 40.0
     2 ,     12 , 40.0
